dataset,version,validation_domain,rmse,mae,bias,spearman
test_1m,v1,arxiv,0.37327807037436606,0.2964597441123146,0.10962837541994086,0.9338335431448843
test_1m,v1,freelaw,0.27448757103266413,0.22288810325368152,0.03680757352476669,0.9337906271457999
test_1m,v1,pubmed_central,0.2989365834792896,0.23845739245830758,0.07913889649690342,0.9445339322499426
test_1m,v1,wikipedia_en,0.22527795221944538,0.18206142364042588,0.03221956856291775,0.9199652380407414
test_1m,v1,dm_mathematics,0.6608265003603958,0.5498081466414381,0.05452648561685124,0.9004026951247424
test_1m,v1,github,0.4351292338943477,0.34909348732734247,0.07864359809012342,0.9182686255436024
test_1m,v1,stackexchange,0.3369225907872907,0.2703092668741638,0.05684696560719531,0.9149397745479512
test_1m,v1,gutenberg_pg_19,0.22146212066577456,0.171714216255838,0.030154069240513177,0.9022766937514304
test_1m,v1,pile_cc,0.16610343022341428,0.13198492286556934,0.025872661765291287,0.8763268196383611
test_1m,v1,ubuntu_irc,0.43662929515522614,0.3523728145950526,0.09138789080933289,0.8677486266880292
test_1m,v1,hackernews,0.18379354904322096,0.14520257805224834,0.02819713939765244,0.8616559853513389
test_1m,v1,pubmed_abstracts,0.2907926945516454,0.22634341472871575,0.047250044687416434,0.8998776894026093
test_1m,v1,uspto_backgrounds,0.18901486044943858,0.14742340564932688,0.03136528649106027,0.9162251087205308
test_1m,v2,arxiv,0.30458787773706575,0.2421797633115635,0.09418331666745369,0.9402537766079192
test_1m,v2,freelaw,0.20848865703982952,0.16276913323720307,0.03850010960468838,0.9660048065918974
test_1m,v2,pubmed_central,0.2528186648885988,0.20268333164347785,0.061919242449578096,0.9576891165026321
test_1m,v2,wikipedia_en,0.15459963111101882,0.12124644052855063,0.031703756315392725,0.966869563973449
test_1m,v2,dm_mathematics,0.5721194943838119,0.45875317403561094,0.03670778561564131,0.8928473334859234
test_1m,v2,github,0.3107365185395603,0.23706802726829196,0.08393591854071525,0.9531929503318836
test_1m,v2,stackexchange,0.22763485492132549,0.17376031134565117,0.05804625695847013,0.9573851281757838
test_1m,v2,gutenberg_pg_19,0.14853525940332585,0.11322551325102309,0.020666621824239315,0.9596282043945981
test_1m,v2,pile_cc,0.11013549945522644,0.08570894035188907,0.02146845447840302,0.9533302815289539
test_1m,v2,ubuntu_irc,0.3802178908628179,0.3004163524788326,0.0818606756740739,0.8888790341039137
test_1m,v2,hackernews,0.13696120517389612,0.10768859516426607,0.019103094106079063,0.9254835202563515
test_1m,v2,pubmed_abstracts,0.18161106263335236,0.14469213771153452,0.03637480811338788,0.959977254520485
test_1m,v2,uspto_backgrounds,0.13676414389601343,0.10624594935057129,0.018233264493045923,0.9663767452506292
test_60m,v1,arxiv,1.7532493263639173,1.7032278112932704,1.7032278112932704,0.9379963950560769
test_60m,v1,freelaw,1.4059388708758118,1.3798541697985462,1.3798541697985462,0.9320174811169604
test_60m,v1,pubmed_central,1.774737850163852,1.742969602415275,1.742969602415275,0.9359128233005263
test_60m,v1,wikipedia_en,1.4016380147210155,1.3845304868344592,1.3845304868344592,0.9117239356832226
test_60m,v1,dm_mathematics,1.5524147467133202,1.3989602124171134,1.3555625780695562,0.9062743190661476
test_60m,v1,github,2.5605779435359453,2.518248283731949,2.518248283731949,0.917288710231174
test_60m,v1,stackexchange,1.7125279318482032,1.6800041008181268,1.6800041008181268,0.9157537479972532
test_60m,v1,gutenberg_pg_19,1.0178573965285866,0.9990138926611569,0.9990138926611569,0.9012588693064773
