leaderboard_row,leaderboard_model,epoch_row,epoch_model,method,confidence,parameter_difference,date_difference,accepted,c2_open_weights,c2_matched
0,0-hero/Matter-0.2-7B-DPO,,,unmatched,0.0,,,False,,False
1,01-ai/Yi-1.5-34B,1273.0,Yi-1.5-34B,normalized_exact_owner,0.99,0.011311756666375959,30.0,True,Yes,True
2,01-ai/Yi-1.5-34B-32K,,,unmatched,0.0,,,False,Yes,True
3,01-ai/Yi-1.5-34B-Chat,,,unmatched,0.0,,,False,Yes,True
4,01-ai/Yi-1.5-34B-Chat-16K,,,unmatched,0.0,,,False,Yes,True
5,01-ai/Yi-1.5-6B,,,unmatched,0.0,,,False,,False
6,01-ai/Yi-1.5-6B-Chat,,,unmatched,0.0,,,False,,False
7,01-ai/Yi-1.5-9B,1274.0,Yi-1.5-9B,normalized_exact_owner,0.99,0.00011325028312564504,30.0,True,Yes,True
8,01-ai/Yi-1.5-9B-32K,,,unmatched,0.0,,,False,Yes,True
9,01-ai/Yi-1.5-9B-Chat,,,unmatched,0.0,,,False,Yes,True
10,01-ai/Yi-1.5-9B-Chat-16K,,,unmatched,0.0,,,False,Yes,True
11,01-ai/Yi-34B,1689.0,Yi-34B,normalized_exact_owner,0.99,0.011311756666375959,223.0,True,Yes,True
12,01-ai/Yi-34B-200K,,,unmatched,0.0,,,False,Yes,True
13,01-ai/Yi-34B-Chat,,,unmatched,0.0,,,False,Yes,True
14,01-ai/Yi-6B,1695.0,Yi 6B,normalized_exact_owner_mismatch,0.35,0.010064345817521851,223.0,False,,False
15,01-ai/Yi-6B-200K,,,unmatched,0.0,,,False,,False
16,01-ai/Yi-6B-Chat,,,unmatched,0.0,,,False,,False
17,01-ai/Yi-9B,,,unmatched,0.0,,,False,,False
18,01-ai/Yi-9B-200K,,,unmatched,0.0,,,False,,False
19,01-ai/Yi-Coder-9B-Chat,,,unmatched,0.0,,,False,,False
20,1-800-LLMs/Qwen-2.5-14B-Hindi,,,unmatched,0.0,,,False,,False
21,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,,,unmatched,0.0,,,False,,False
22,1024m/PHI-4-Hindi,,,unmatched,0.0,,,False,Yes,True
23,1024m/QWEN-14B-B100,,,unmatched,0.0,,,False,Yes,True
24,152334H/miqu-1-70b-sf,,,unmatched,0.0,,,False,,False
25,1TuanPham/T-VisStar-7B-v0.1,,,unmatched,0.0,,,False,,False
26,1TuanPham/T-VisStar-v0.1,,,unmatched,0.0,,,False,,False
27,3rd-Degree-Burn/L-3.1-Science-Writer-8B,,,unmatched,0.0,,,False,,False
28,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,,,unmatched,0.0,,,False,,False
29,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,,,unmatched,0.0,,,False,,False
30,3rd-Degree-Burn/Llama-Squared-8B,,,unmatched,0.0,,,False,,False
31,4season/final_model_test_v2,,,unmatched,0.0,,,False,,False
32,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,,,unmatched,0.0,,,False,,False
33,AALF/FuseChat-Llama-3.1-8B-SFT-preview,,,unmatched,0.0,,,False,,False
34,AALF/gemma-2-27b-it-SimPO-37K,,,unmatched,0.0,,,False,,False
35,AALF/gemma-2-27b-it-SimPO-37K-100steps,,,unmatched,0.0,,,False,,False
36,AELLM/gemma-2-aeria-infinity-9b,,,unmatched,0.0,,,False,,False
37,AELLM/gemma-2-lyco-infinity-9b,,,unmatched,0.0,,,False,,False
38,AGI-0/Art-v0-3B,,,unmatched,0.0,,,False,,False
39,AGI-0/Artificium-llama3.1-8B-001,,,unmatched,0.0,,,False,,False
40,AGI-0/smartllama3.1-8B-001,,,unmatched,0.0,,,False,,False
41,AI-MO/NuminaMath-7B-CoT,,,unmatched,0.0,,,False,,False
42,AI-MO/NuminaMath-7B-TIR,,,unmatched,0.0,,,False,,False
43,AI-Sweden-Models/Llama-3-8B-instruct,,,unmatched,0.0,,,False,,False
44,AI-Sweden-Models/gpt-sw3-40b,2036.0,gpt-sw3-40b,normalized_exact_owner_mismatch,0.35,0.00182500000000001,483.0,False,Yes,True
45,AI4free/Dhanishtha,,,unmatched,0.0,,,False,,False
46,AI4free/t2,,,unmatched,0.0,,,False,No,True
47,AIDC-AI/Marco-o1,807.0,Marco-o1,normalized_exact_owner,0.99,0.08088235294117643,107.0,True,Yes,True
