file,rows,columns,column_names,missing_cells,duplicate_rows,duplicate_N_D,duplicate_checkpoint,model_families,units,provenance,N_min,N_max,D_min,D_max,Loss_min,Loss_max,Q_min,Q_max
cerebras_training_log.csv,1029,15,run_id|N_params_B|D_tokens_B|C_FLOPs_1e21|steps|batch_tokens_M|lr|wd|precision|gpu_days|step_time_ms|train_loss|val_loss|ppl|grad_norm_avg,3087,0,28,0,,N and D in billions,semi-synthetic,0.111,13,14,2050,2.8354,6.4979,,
open_model_family_metadata.csv,18,8,family|model_repo|config_bytes|readme_bytes|weight_file_count|weight_total_bytes|source_url|error,18,0,0,0,pythia|cerebras_gpt|olmo,,metadata or literature/baseline,,,,,,,,
published_scaling_data.csv,44,6,family|N_params_B|D_tokens_B|val_loss|source|is_converged,0,0,0,0,GPT-2|GPT-3|Chinchilla|Gopher|LLaMA|LLaMA-2|PaLM|OPT|BLOOM,N and D in billions,metadata or literature/baseline,0.125,540,5,2000,1.473,3.015,,
pythia_checkpoint_index.csv,1386,5,model_repo|model_size|step|branch|commit,0,0,0,0,,,metadata or literature/baseline,,,,,,,,
pythia_training_log_existing.csv,1176,15,run_id|N_params_B|D_tokens_B|C_FLOPs_1e21|steps|batch_tokens_M|lr|wd|precision|gpu_days|step_time_ms|train_loss|val_loss|ppl|grad_norm_avg,0,0,0,0,,N and D in billions,real trajectory,0.070542,11.965825,0.134,299.893,2.0933,4.7388,,
scaling_baseline.csv,57,5,family|N_params_B|D_tokens_B|val_loss|is_converged,0,0,0,0,Phi|LLaMA|Qwen2|Pythia|Gemma|GPT2|OPT|BLOOM|Falcon|Mistral|Yi|Cerebras-GPT,N and D in billions,metadata or literature/baseline,0.07,72,6,33739,1.71,4.3629,,
supplementary_large_baseline.csv,128,5,family|N_params_B|D_tokens_B|val_loss|is_converged,0,0,9,0,"Ling-flash-base-2.0-20T|FaXin|PLaMo-100B|Yi-Large|Hunyuan|Luca 2.0|xTrimoPGLM -100B|YaLM|FLM-101B|Solar Open 100B
|Odyssey 102B|Yuan 2.0|InternLM|Ring-flash-linear-2.0|GLM-4.5-Air|GLM-4.5V|Llama 4 Scout|Telechat2-115B|gpt-oss-120b|Galactica|Mistral Large 2|Step-Audio-Chat 130B|Step-1|Step-Omni|BlueLM 130B|GLM-130B|DBRX|Pangu Ultra|MEB|BIG-G 137B|LaMDA|FLAN 137B|Mixtral 8x22B|dots.llm1|GPT-3 175B (davinci)|MegaScale (175B)|BlueLM 175B|OPT-IML (175B)|BlenderBot 3|OPT-175B|BLUUMI|BLOOMZ-176B|XuanYuan 2.0|BLOOM-176B|Jurassic-1-Jumbo|Falcon-180B|SenseChat|Mi:dm 200B|Amazon Titan|HyperCLOVA 204B|PanGu-α|Qwen3-235B-A22B-Thinking (Jul 2025)|Qwen3-235B-A22B (Jul 2025)|Qwen3-235B-A22B|K-EXAONE|DeepSeek-V2.5|DeepSeek-Coder-V2 236B|DeepSeek-V2 (MoE-236B)|Yuan 1.0|Aramco Metabrain AI|Llama Nemotron Ultra 253B|ERNIE 3.0 Titan|ST-MoE|Gopher (280B)|Ling-Plus (""Bailing"")|ERNIE-4.5-300B-A47B|EXAONE 1.0|SB-LM|MiMo-V2-Flash|Grok-1|AMIE (Articulate Medical Intelligence Explorer)|Nemotron-4 340B|PaLM 2|GLM-4.5|GLM-4.6|GLM-4.7|Hunyuan-Large|Arcee Trinity Large|Llama 4 Maverick|Hermes 3 405B|Llama 3.1-405B|MiniMax-M1-80k|MiniMax-M1-40k|MiniMax-Text-01|Qwen3-Coder-480B-A35B|Arctic|Doubao-pro|Microsoft MAI-1 (2024 unreleased)|MegaScale (530B)|MegaScale (Production)|Megatron-Turing NLG 530B|U-PaLM (540B)|Flan-PaLM 540B|Minerva (540B)|PaLM (540B)|LongCat-Flash|Hunyuan-TurboS|SenseChat 5.0|GShard (600B)|DeepSeek-V3.2-Exp|DeepSeek-V3.1-Terminus|DeepSeek-V3.1|DeepSeek-R1 (May 2025)|DeepSeek-V3 (Mar 2025)|DeepSeek-R1|DeepSeek-V3|Pangu Ultra MoE|GLM-5|Kimi K2 Thinking|Ling-1T|Qwen3-Max|Kimi K2|DLRM-2021|M6-T|Kimi K2.5|PanGu-Σ|MoE-1.1T|GLaM|QMoE: compressed SwitchTransformer|Switch|Wu Dao 2.0|GPT-4 (Mar 2023)|GPT-4 (Jun 2023)|Llama 4 Behemoth (preview)|Grok 4|Grok 3|DLRM-2022|M6-10T",N and D in billions,estimated loss,100,10000,0.1,36000,1.7838,4.0812,,
supplementary_large_models.csv,132,8,model_name|N_params_B|D_tokens_B|FLOPs|publication_date|organization|accessibility|country,15,0,9,0,,N and D in billions,metadata or literature/baseline,100,10000,0,36000,,,,
supplementary_NQ_experiment.csv,360,5,experiment_id|N_params_B|D_tokens_B|Q_score|val_loss,0,0,315,0,,N and D in billions,semi-synthetic,0.07,11.97,10,600,2.0161,3.7216,0.1,1
supplementary_NQ_experiment_expanded.csv,450,5,experiment_id|N_params_B|D_tokens_B|Q_score|val_loss,0,0,405,0,,N and D in billions,semi-synthetic,0.07,11.97,10,600,2.0161,3.7216,0.1,1
