field,raw_type,raw_direction,expected_relation_to_Q,n_A1,n_raw_nonmissing,weight_in_Q,spearman_raw_vs_Q,spearman_raw_vs_Q_without_self,spearman_raw_vs_transformed,transform_max_abs_error,transform_rule_check,left_ramp_n,left_ramp_spearman_raw_vs_score,right_ramp_n,right_ramp_spearman_raw_vs_score,plateau_fraction_A1,relation_to_Q_matches_expected,hump_shape_check,direction_or_shape_check,interpretation
fineweb_edu,list,越高越好,positive,51230,51230,0.05,0.5280580050290884,0.4505627668801855,0.9999989958985467,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
fluency_en,list,越高越好,positive,51230,51230,0.0833333333333333,0.6859581195831053,0.5190788184783272,0.9999989901076016,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
modernbert_cleanliness,list,越高越好,positive,51230,51230,0.05,0.7679789287100437,0.6946715936591137,0.9999989958985467,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
modernbert_readability,list,越高越好,positive,51230,51230,0.0833333333333333,0.7229079907113917,0.5907408347405096,0.9999989958985467,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
modernbert_reasoning,list,越高越好,positive,51230,51217,0.05,0.5857122392225598,0.4992571279136144,0.9999989951337632,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
modernbert_professionalism,list,越高越好,positive,51230,51225,0.05,0.09624260739765085,-0.07598869985652433,0.9999989956044911,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
dsir_books,number,越高越好,positive,51230,51230,0.0166666666666666,-0.2849101110669348,-0.2962217399704426,0.9999989958985467,0.0,True,0,,0,,,False,,False,implementation/shape audit only; part-whole correlation is not external validity
dsir_wiki,number,越高越好,positive,51230,51230,0.0166666666666666,-0.2863890466272552,-0.29739836612481885,0.9999989958985467,0.0,True,0,,0,,,False,,False,implementation/shape audit only; part-whole correlation is not external validity
dsir_math,number,越高越好,positive,51230,51230,0.0166666666666666,-0.30079578121020556,-0.313362671146933,0.9999989958985467,0.0,True,0,,0,,,False,,False,implementation/shape audit only; part-whole correlation is not external validity
qurater,list,越高越好,positive,51230,51230,0.05,0.7465156735288325,0.6926277789373014,0.9999989929587823,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
ad_en,list,越高越好,positive,51230,51230,0.05,0.08745522880113997,0.02199995544056128,0.9999989959614134,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_word_count,number,适中最好；经验梯形效用,left increases; middle plateau; right decreases,51230,51230,0.0357142857142857,0.48624393410556815,0.49743228199084577,0.012197277262209144,0.0,True,9621,1.0,9720,-0.9999999999999999,0.602322857700566,,True,True,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_num_sentences,number,适中最好；经验梯形效用,left increases; middle plateau; right decreases,51230,51230,0.0357142857142857,0.30127220992903014,0.30911921477315385,0.00019438721876934443,0.0,True,8243,0.9999999999999998,9563,-0.9999999999999999,0.6211594768690221,,True,True,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_unigram_entropy,number,越高越好,positive,51230,51230,0.0357142857142857,0.5270131440803474,0.47696105660717497,0.9999989977887207,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_frac_unique_words,number,越高越好,positive,51230,51230,0.0357142857142857,-0.3068637014423559,-0.36404290448930887,0.9999994979484728,0.0,True,0,,0,,,False,,False,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_frac_no_alph_words,number,越低越好,negative,51230,51230,0.05,-0.38498475259612835,-0.3327003903778855,-0.999999391931799,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_frac_chars_top_2gram,number,越低越好,negative,51230,51230,0.05,-0.2683101956122476,-0.17318487169557828,-0.9999994622538234,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_frac_chars_top_3gram,number,越低越好,negative,51230,51230,0.05,-0.12668166196260217,-0.011372067038852341,-0.999999492961646,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
rps_lines_uppercase_letter_fraction,number,适中最好；经验梯形效用,left increases; middle plateau; right decreases,51230,51230,0.0357142857142857,-0.17506061523347713,-0.18559475856841248,0.04559785905213968,0.0,True,9733,1.0,9733,-0.9999999999999999,0.6,,True,True,implementation/shape audit only; part-whole correlation is not external validity
rps_lines_ending_with_terminal_punctution_mark,number,越高越好,positive,51230,51230,0.0833333333333333,0.37103312212072787,0.12536997399760408,0.999999905775425,0.0,True,0,,0,,,True,,True,implementation/shape audit only; part-whole correlation is not external validity
rps_lines_numerical_chars_fraction,number,适中最好；经验梯形效用,left increases; middle plateau; right decreases,51230,51230,0.0357142857142857,0.09901666684838507,0.045120211377433835,0.17336787952093197,0.0,True,2758,0.9999999872729213,9733,-0.9999999999088957,0.6000390396252197,,True,True,implementation/shape audit only; part-whole correlation is not external validity
rps_doc_mean_word_length,number,适中最好；经验梯形效用,left increases; middle plateau; right decreases,51230,51230,0.0357142857142857,-0.34539020297003575,-0.3689166006578701,0.036371838959400715,0.0,True,9732,1.0,9728,-0.9999999999999999,0.600097599063049,,True,True,implementation/shape audit only; part-whole correlation is not external validity
