field,raw_type,raw_direction,missing_count,missing_rate,outlier_below_1pct,outlier_above_99pct,compression,skew_transform,scaling,calibration_values,direction_unification,final_meaning
fineweb_edu,list,越高越好,0,0.0,2806,1478,单元素取值,none,A1固定1%-99%截尾MinMax,"[0.034469933509826654, 3.2404500007629395]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
fluency_en,list,越高越好,0,0.0,2117,507,两类 logits 中正向类概率,none,A1固定1%-99%截尾MinMax,"[0.032651378460344445, 0.9992145260642746]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
modernbert_cleanliness,list,越高越好,0,0.0,11045,642,六级 logits 的 softmax 期望/5,none,A1固定1%-99%截尾MinMax,"[0.2000609560286308, 0.9999996792254349]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
modernbert_readability,list,越高越好,0,0.0,5918,905,六级 logits 的 softmax 期望/5,none,A1固定1%-99%截尾MinMax,"[0.2005724940690666, 0.9984123502313493]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
modernbert_reasoning,list,越高越好,13,4.770554668721675e-05,10676,7260,六级 logits 的 softmax 期望/5,none,A1固定1%-99%截尾MinMax,"[0.0037453534215414466, 0.9999932309980042]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
modernbert_professionalism,list,越高越好,6,2.2017944624869268e-05,526,7228,六级 logits 的 softmax 期望/5,none,A1固定1%-99%截尾MinMax,"[0.20010027974845848, 0.9999895916640276]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
dsir_books,number,越高越好,0,0.0,7061,8603,原始标量,none,A1固定1%-99%截尾MinMax,"[-56918.4092252888, -232.54878165960002]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
dsir_wiki,number,越高越好,0,0.0,6369,8399,原始标量,none,A1固定1%-99%截尾MinMax,"[-60860.8279476777, -228.26818290040012]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
dsir_math,number,越高越好,0,0.0,5932,8788,原始标量,none,A1固定1%-99%截尾MinMax,"[-45615.732442883906, -227.74308688770012]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
qurater,list,越高越好,0,0.0,1539,4021,四个 QuRating 维度均值,none,A1固定1%-99%截尾MinMax,"[-4.053837890625, 5.44970703125]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
ad_en,list,越高越好,0,0.0,519,750,两类 logits 中正向类概率,none,A1固定1%-99%截尾MinMax,"[0.030764043536685718, 0.9997009699987189]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_word_count,number,适中最好；经验梯形效用,0,0.0,9260,3977,原始标量,signed_log1p,A1固定分位点梯形效用,"[2.3978952727983707, 4.477336814478207, 6.54965074223381, 9.23043408489158]",适中最好；经验梯形效用,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_num_sentences,number,适中最好；经验梯形效用,0,0.0,0,4754,原始标量,signed_log1p,A1固定分位点梯形效用,"[0.6931471805599453, 2.0794415416798357, 4.04305126783455, 6.632171431125924]",适中最好；经验梯形效用,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_unigram_entropy,number,越高越好,0,0.0,10064,2362,原始标量,none,A1固定1%-99%截尾MinMax,"[2.1371304051999997, 6.325648439699999]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_frac_unique_words,number,越高越好,0,0.0,4664,0,原始标量,none,A1固定1%-99%截尾MinMax,"[17.204759645793803, 100.0]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_frac_no_alph_words,number,越低越好,0,0.0,2085,513,原始标量,none,A1固定1%-99%截尾MinMax,"[16.636897675691845, 99.90756177631864]",越低越好,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_frac_chars_top_2gram,number,越低越好,0,0.0,0,3818,原始标量,signed_log1p,A1固定1%-99%截尾MinMax,"[0.0, 3.091042453358316]",越低越好,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_frac_chars_top_3gram,number,越低越好,0,0.0,0,4093,原始标量,signed_log1p,A1固定1%-99%截尾MinMax,"[0.0, 3.074355279691399]",越低越好,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_lines_uppercase_letter_fraction,number,适中最好；经验梯形效用,0,0.0,2120,4474,原始标量,none,A1固定分位点梯形效用,"[1.1270577141703508, 5.1172374997593835, 34.85031260062402, 52.7577506193827]",适中最好；经验梯形效用,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_lines_ending_with_terminal_punctution_mark,number,越高越好,0,0.0,4831,0,原始标量,none,A1固定1%-99%截尾MinMax,"[0.4300563580039559, 100.0]",越高越好,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_lines_numerical_chars_fraction,number,适中最好；经验梯形效用,0,0.0,0,1187,原始标量,none,A1固定分位点梯形效用,"[0.0, 0.15432098765432098, 3.7938376570845387, 19.177330331870227]",适中最好；经验梯形效用,0-1，越高表示该项质量越好；启发式方向见假设文件
rps_doc_mean_word_length,number,适中最好；经验梯形效用,0,0.0,735,10232,原始标量,none,A1固定分位点梯形效用,"[3.9545454545454546, 4.708317338451695, 6.9411764705882355, 16.64097402597402]",适中最好；经验梯形效用,0-1，越高表示该项质量越好；启发式方向见假设文件
