hypothesis_id,problem,module,current_issue,evidence_type,evidence,proposed_change,expected_result,validation_dataset,metric,acceptance_criterion,rejection_criterion,risk,priority,affected_downstream_questions,status
H1,P1,QA人工效度,盲评结果为空,E1,manual_validation_results.csv为0行,完成预设双评审盲评且不调权重,QA与人工总体质量有同向关联,A1预抽140文本,Spearman及ICC及区间,Spearman区间下界大于0且ICC可报告,相关不稳定或评审一致性低则仅称代理,选样非总体随机,P1,P2/P3/P4,待验证
H2,P1,冲突惩罚,惩罚优越性未证,E1,惩罚仅改评分且无人工标签,仅在H1评分后比较预设惩罚与原QA,冲突文本人工低分更可分,A1盲评冲突子样本,成对区分能力及bootstrap区间,预设惩罚在盲评误差有稳定改善,只有内部排名变化或外部无改善则拒绝,利用同一盲评选权重过拟合,P3,P2/P3,证据不足暂缓
H3,P1,A1扩展去重,扩展与抽样重合,E2,A2重合1419且A3重合10000,已做非重合对照不重复开发,同域均值差小,A2/A3非重合记录,均值差和冲突率,已满足对照并单列,如重算不一致则排查数据键,ID并非跨域唯一,P2,P2,已解决
H4,P1,域QA区间,只反映抽样误差,E1,200次bootstrap已有但不含规则不确定性,保留现有区间并在文中标明条件性,避免把窄区间当评分真值,A1及A2/A3,覆盖范围描述,完整披露规则条件,若写成外部真实性CI则撤回,读者误解,P2,P2/P3,已解决但需表述
H5,P1,配比支持,自由单纯形外推危险,E1,P3 V2已作ALR支持检验且P1二阶模型稳定,沿用P1观测配比和凸包候选,支持内效果更稳,A4/A5及A6/A7,邻域距离与既定测试损失,测试排序不下降且在支持阈值内,只有外推点改善则不升级,支持诊断非概率保证,P2,P2/P3,已解决
H6,P2,来源标度校准,B2原始损失严重偏移,E1,B2 raw RMSE1.243且20%校准后仍有偏差,冻结低维校准形式后用全新来源或预留族做验证,偏差降低且外部源不恶化,新来源或未用B4/B5族,族外RMSE和bias,至少两来源误差降且校准成本明示,只在已查看来源改善则拒绝升级,目前无封存外部集,P1,P3/P4,待验证
H7,P2,B8机制冲突,同点同特征不同Loss,E2,B6/B8同点冲突160且质量方向反转,审计生成口径并分机制建模而不强行共拟合,来源标签解释残差和方向,B6/B8完全重合点,按Q分层差与方向一致率,分机制后同点冲突可解释并外部检验,仅加自由度消掉冲突则拒绝,半合成生成规则可能不可见,P1,P3/P4,待溯源
H8,P1/P2,QA到QB,两种质量尺度没有共同锚点,E3,QA固定域代理与QB半合成分数无同文本训练锚点,优先收集共享锚点否则保留三情景,有数据时可估单调映射并检验,同配比异质量训练或共同标注,映射残差和外推稳定,留出锚点上的方向与误差通过预设门槛,无锚点则不得报告精确映射,获取新实验成本高,P1,P2/P3/P4,待验证
H9,P1/P2,lambda_p跨规模,当前等于1为默认,E1,V1中心化斜率1M0.900和1B0.285且V2未重算,冻结P1 V2预测后估少量跨规模校准并留测试,lambda_p随规模变化且优于常数,既有60M/1B中预留校准和留出,组外loss差RMSE及排序,预留集稳定改善并区间不含常数,只靠已查看集提高则仍为情景,规模与配方分布混杂,P1,P3/P4,待验证
H10,P2/P3,联合参数bootstrap,B1与B6相关性未完整观测,E1,P3 V2已传播B1及B6参数但跨源协方差未知,保留现有联合抽样并单列结构情景,避免把极窄CI当现实CI,B1/B6和三成本情景,参数分位与场景包络,现有数值复算一致且文字明确条件性,若把跨源风险并入窄CI则拒绝,两个来源无法估协方差,P2,P3/P4,已解决部分
H11,P3,E1三倍边界,三倍是人工选择,E3,1e24 E1仅用22.4%预算且N和D碰上界,做倍数阈值剖面而非定三倍最优,决策随倍数连续变化,现有B1及预算网格,Loss和N/D对倍数曲线,若宽范围内决策相近才建议单值,对阈值高度敏感则只给区间,阈值无实证来源,P1,P4,待验证
H12,P3,高预算稳健零后悔,共同角点制造退化,E3,36场景同一上界角点,保留零后悔但附边界依赖解释,放宽边界后后悔不再恒零,E0/E1/E2及多阈值,最大regret和活动约束,结果与几何解释一致,若仍称风险消除则拒绝,场景集非概率分布,P1,P4,已诊断
H13,P3,p收益幅度,收益依赖lambda_p,E1,P1在lambda1下收益0.502且跨尺度未识别,保留0到1.5情景并与H9联动,收益随lambda成比例,lambda_p_extended_sensitivity.csv,损失改善与支持度,情景结果和分解关系复算一致,若称真实1e24收益则拒绝,lambda跨尺度无法由现有数据估计,P1,P4,已解决部分
H14,P3,Q成本,成本函数题设三形式,E1,Q饱和跨成本稳定但低预算差异大,保留三成本与Q0情景并不估自然概率,中高预算结论条件稳定,optimal_allocations_by_cost.csv,饱和率和最优Q,关键结论跨预设成本一致,对成本敏感则写条件结论,成本不是实测,P2,P4,已解决部分
H15,P3,参数传播,边际独立抽样旧版不足,E5,P3 V2有200组联合参数和800次优化,保留V2联合bootstrap,条件分位可重复,联合抽样结果文件,复算误差及参数相关,核验通过,若退回V1独立区间则拒绝,跨源协方差仍不明,P2,P4,已解决
H16,P4,开源样本,严格匹配只45个,E1,末季n2且C2宽口径趋势反向,保持W1主可信口径并用W2及宽口径敏感性,结论在口径间有明确稳定范围,C1/C2/C4匹配审计,季度n及前沿差,方向稳定才作为主趋势,方向翻转则只报告口径依赖,放宽匹配有误配风险,P1,P4,待验证
