increase,decrease,reference_index,eps_multiplier,predicted_mean_loss_change_1pp
arxiv,pile_cc,16,0.25,0.0004568990514339788
freelaw,pile_cc,16,0.25,0.0004856902479861702
nih_exporter,pile_cc,16,0.25,0.016208579216788088
pubmed_central,pile_cc,16,0.25,-1.2729710126002658e-05
wikipedia_en,pile_cc,16,0.25,0.0006928239526331481
dm_mathematics,pile_cc,16,0.25,-0.01214001115477803
github,pile_cc,16,0.25,0.0004060946805841681
philpapers,pile_cc,16,0.25,0.018600961218036005
stackexchange,pile_cc,16,0.25,-0.0015453081632834653
enron_emails,pile_cc,16,0.25,0.07967974398285183
gutenberg_pg_19,pile_cc,16,0.25,0.00048671123411736517
ubuntu_irc,pile_cc,16,0.25,-0.01096598373016544
europarl,pile_cc,16,0.25,0.006414198290489281
hackernews,pile_cc,16,0.25,0.0027331280698650318
pubmed_abstracts,pile_cc,16,0.25,-3.7201719020885093e-05
uspto_backgrounds,pile_cc,16,0.25,0.001092298866895547
arxiv,pile_cc,16,0.5,0.0006591673485694116
freelaw,pile_cc,16,0.5,0.00041797330646708986
nih_exporter,pile_cc,16,0.5,0.022993929654392176
pubmed_central,pile_cc,16,0.5,-9.880968914544042e-05
wikipedia_en,pile_cc,16,0.5,0.0008299680961902922
dm_mathematics,pile_cc,16,0.5,-0.013613881773871128
github,pile_cc,16,0.5,0.0005744057390044688
philpapers,pile_cc,16,0.5,0.026729283263251524
stackexchange,pile_cc,16,0.5,-0.001447629466200695
enron_emails,pile_cc,16,0.5,0.10132092496854916
gutenberg_pg_19,pile_cc,16,0.5,0.0006151437513945979
ubuntu_irc,pile_cc,16,0.5,-0.012148113105576286
europarl,pile_cc,16,0.5,0.008359937523890082
hackernews,pile_cc,16,0.5,0.004343893146979028
pubmed_abstracts,pile_cc,16,0.5,8.642941683145722e-05
uspto_backgrounds,pile_cc,16,0.5,0.0012799586204614855
arxiv,pile_cc,16,1.0,0.0009230866371341406
freelaw,pile_cc,16,1.0,0.00028868453409192085
nih_exporter,pile_cc,16,1.0,0.03152912184555756
pubmed_central,pile_cc,16,1.0,-0.0002244600545751041
wikipedia_en,pile_cc,16,1.0,0.0008477031248466105
dm_mathematics,pile_cc,16,1.0,-0.01538360894972346
github,pile_cc,16,1.0,0.0007811308384573223
philpapers,pile_cc,16,1.0,0.03734909775357398
stackexchange,pile_cc,16,1.0,-0.0013332362652933583
enron_emails,pile_cc,16,1.0,0.12708301219950968
gutenberg_pg_19,pile_cc,16,1.0,0.0007867620137336218
ubuntu_irc,pile_cc,16,1.0,-0.013595425345314105
europarl,pile_cc,16,1.0,0.011182277579421473
hackernews,pile_cc,16,1.0,0.0074104438389897
pubmed_abstracts,pile_cc,16,1.0,0.00025241935729258813
uspto_backgrounds,pile_cc,16,1.0,0.001367379643024691
arxiv,pile_cc,11,0.25,0.00040428385121948907
freelaw,pile_cc,11,0.25,0.00047427952074841073
nih_exporter,pile_cc,11,0.25,0.015839073216071142
pubmed_central,pile_cc,11,0.25,5.004529205088204e-05
wikipedia_en,pile_cc,11,0.25,0.000639520528947557
dm_mathematics,pile_cc,11,0.25,-0.01192101350998076
github,pile_cc,11,0.25,0.00046158988623989927
philpapers,pile_cc,11,0.25,0.018670959892805428
stackexchange,pile_cc,11,0.25,-0.001524123331771321
enron_emails,pile_cc,11,0.25,0.0787852225892749
gutenberg_pg_19,pile_cc,11,0.25,0.0006169582814807839
ubuntu_irc,pile_cc,11,0.25,-0.011222445614511578
europarl,pile_cc,11,0.25,0.006619272543590959
hackernews,pile_cc,11,0.25,0.0027769964488530974
pubmed_abstracts,pile_cc,11,0.25,-2.8959601381828293e-05
uspto_backgrounds,pile_cc,11,0.25,0.0010957537129447914
arxiv,pile_cc,11,0.5,0.0005970471550664769
freelaw,pile_cc,11,0.5,0.0004286824041459525
nih_exporter,pile_cc,11,0.5,0.021866514701045503
pubmed_central,pile_cc,11,0.5,-2.5454202479124888e-06
wikipedia_en,pile_cc,11,0.5,0.0007624275003852432
dm_mathematics,pile_cc,11,0.5,-0.013271754671531966
github,pile_cc,11,0.5,0.0006400753106623469
philpapers,pile_cc,11,0.5,0.026643291012830694
stackexchange,pile_cc,11,0.5,-0.0014598926995432748
enron_emails,pile_cc,11,0.5,0.09938531123336425
gutenberg_pg_19,pile_cc,11,0.5,0.0008306240346795946
ubuntu_irc,pile_cc,11,0.5,-0.01253389173178121
europarl,pile_cc,11,0.5,0.008649800155323462
hackernews,pile_cc,11,0.5,0.004481844954495884
pubmed_abstracts,pile_cc,11,0.5,0.00010266011189674629
uspto_backgrounds,pile_cc,11,0.5,0.0013153363141107377
arxiv,pile_cc,11,1.0,0.0008599249783589613
freelaw,pile_cc,11,1.0,0.000343481877171925
nih_exporter,pile_cc,11,1.0,0.029098637843397057
pubmed_central,pile_cc,11,1.0,-7.047377575464253e-05
wikipedia_en,pile_cc,11,1.0,0.0007917042488942982
dm_mathematics,pile_cc,11,1.0,-0.01483319170054287
github,pile_cc,11,1.0,0.0008578988156253686
philpapers,pile_cc,11,1.0,0.036694417444196326
stackexchange,pile_cc,11,1.0,-0.0013982050040715066
enron_emails,pile_cc,11,1.0,0.1232432519463682
gutenberg_pg_19,pile_cc,11,1.0,0.0011294016569047827
ubuntu_irc,pile_cc,11,1.0,-0.014094796310191171
europarl,pile_cc,11,1.0,0.01148468273360681
hackernews,pile_cc,11,1.0,0.007559869294604837
pubmed_abstracts,pile_cc,11,1.0,0.0002839939829266669
uspto_backgrounds,pile_cc,11,1.0,0.0015012827377285376
arxiv,pile_cc,9,0.25,0.0005900964929725916
freelaw,pile_cc,9,0.25,0.0005651918115923138
nih_exporter,pile_cc,9,0.25,0.017013757890714132
pubmed_central,pile_cc,9,0.25,-7.549937530537676e-05
wikipedia_en,pile_cc,9,0.25,0.000755640889253506
dm_mathematics,pile_cc,9,0.25,-0.012281597487954876
github,pile_cc,9,0.25,0.0004140945792663331
philpapers,pile_cc,9,0.25,0.01843893230519633
stackexchange,pile_cc,9,0.25,-0.0013483355342227554
enron_emails,pile_cc,9,0.25,0.09471268260023269
gutenberg_pg_19,pile_cc,9,0.25,-0.00016490890415798987
ubuntu_irc,pile_cc,9,0.25,-0.010897500286753292
europarl,pile_cc,9,0.25,0.005864463132003728
hackernews,pile_cc,9,0.25,0.0010120730857323679
pubmed_abstracts,pile_cc,9,0.25,-5.837706850631008e-05
uspto_backgrounds,pile_cc,9,0.25,0.0012523268573101376
arxiv,pile_cc,9,0.5,0.0008650791673998626
freelaw,pile_cc,9,0.5,0.0004776795941445755
nih_exporter,pile_cc,9,0.5,0.02465133100317196
pubmed_central,pile_cc,9,0.5,-0.000231839827943503
wikipedia_en,pile_cc,9,0.5,0.000926366638759113
dm_mathematics,pile_cc,9,0.5,-0.013908918814193427
github,pile_cc,9,0.5,0.0006175190723949342
philpapers,pile_cc,9,0.5,0.026726777510766908
stackexchange,pile_cc,9,0.5,-0.0010446701150845783
enron_emails,pile_cc,9,0.5,0.12123936304034721
gutenberg_pg_19,pile_cc,9,0.5,-0.0003861118783330397
ubuntu_irc,pile_cc,9,0.5,-0.01174377651727987
europarl,pile_cc,9,0.5,0.007225543892748654
hackernews,pile_cc,9,0.5,0.0008962408902659647
pubmed_abstracts,pile_cc,9,0.5,3.98185555994246e-05
uspto_backgrounds,pile_cc,9,0.5,0.0015966625709022964
arxiv,pile_cc,9,1.0,0.00125451383986519
freelaw,pile_cc,9,1.0,0.0002910373905571362
nih_exporter,pile_cc,9,1.0,0.03381043253052152
pubmed_central,pile_cc,9,1.0,-0.00045908944902084414
wikipedia_en,pile_cc,9,1.0,0.0009570602340822632
dm_mathematics,pile_cc,9,1.0,-0.016082757106998358
github,pile_cc,9,1.0,0.0009268889362310517
philpapers,pile_cc,9,1.0,0.03834647383189704
stackexchange,pile_cc,9,1.0,-0.0005617470265120161
enron_emails,pile_cc,9,1.0,0.152242292544142
gutenberg_pg_19,pile_cc,9,1.0,-0.0006999987359090909
ubuntu_irc,pile_cc,9,1.0,-0.012686940715940231
europarl,pile_cc,9,1.0,0.00892249102597198
hackernews,pile_cc,9,1.0,0.0010835040146419672
pubmed_abstracts,pile_cc,9,1.0,0.0001441602627245686
uspto_backgrounds,pile_cc,9,1.0,0.001998047439423445
