dataset,version,validation_domain,rmse,bias,spearman
test_1m,v2,arxiv,0.30458787773706575,0.09418331666745369,0.9402537766079192
test_1m,v2,freelaw,0.20848865703982952,0.03850010960468838,0.9660048065918974
test_1m,v2,pubmed_central,0.2528186648885988,0.061919242449578096,0.9576891165026321
test_1m,v2,wikipedia_en,0.15459963111101882,0.031703756315392725,0.966869563973449
test_1m,v2,dm_mathematics,0.5721194943838119,0.03670778561564131,0.8928473334859234
test_1m,v2,github,0.3107365185395603,0.08393591854071525,0.9531929503318836
test_1m,v2,stackexchange,0.22763485492132549,0.05804625695847013,0.9573851281757838
test_1m,v2,gutenberg_pg_19,0.14853525940332585,0.020666621824239315,0.9596282043945981
test_1m,v2,pile_cc,0.11013549945522644,0.02146845447840302,0.9533302815289539
test_1m,v2,ubuntu_irc,0.3802178908628179,0.0818606756740739,0.8888790341039137
test_1m,v2,hackernews,0.13696120517389612,0.019103094106079063,0.9254835202563515
test_1m,v2,pubmed_abstracts,0.18161106263335236,0.03637480811338788,0.959977254520485
test_1m,v2,uspto_backgrounds,0.13676414389601343,0.018233264493045923,0.9663767452506292
test_1m,v3_additive_clr_spline,arxiv,0.2991537040517508,0.0666311596482343,0.9583078221560997
test_1m,v3_additive_clr_spline,freelaw,0.14404475838988154,0.0049545058182968,0.9860909246967268
test_1m,v3_additive_clr_spline,pubmed_central,0.15655389608630446,0.04004562161368192,0.9792272259098189
test_1m,v3_additive_clr_spline,wikipedia_en,0.12793539607999335,0.0015492500198725397,0.9825124456397344
test_1m,v3_additive_clr_spline,dm_mathematics,0.3518166531572163,-0.02328384776982768,0.9224371995880062
test_1m,v3_additive_clr_spline,github,0.31066477621639854,0.014238847890074256,0.9555855172808422
test_1m,v3_additive_clr_spline,stackexchange,0.24459956822711443,0.003778901089109544,0.9581061169604027
test_1m,v3_additive_clr_spline,gutenberg_pg_19,0.13399737417934257,0.0022646886501715216,0.9689509899290454
test_1m,v3_additive_clr_spline,pile_cc,0.08546142592389572,0.0036636152409674667,0.970666199359121
test_1m,v3_additive_clr_spline,ubuntu_irc,0.22754156056417021,0.03145591862573381,0.9515642881666284
test_1m,v3_additive_clr_spline,hackernews,0.09748158591274002,0.0007102419272425678,0.9706247138933393
test_1m,v3_additive_clr_spline,pubmed_abstracts,0.18457304234952565,0.00021586495040198245,0.9623419260700388
test_1m,v3_additive_clr_spline,uspto_backgrounds,0.10736249781985702,0.007123154707516552,0.9732204165712977
test_60m,v2,arxiv,1.7288176448361698,1.6877827525407834,0.940248054474708
test_60m,v2,freelaw,1.3966730555924785,1.3815467058784683,0.9639090753032731
test_60m,v2,pubmed_central,1.7529498521962368,1.7257499483679497,0.9529933909361409
test_60m,v2,wikipedia_en,1.3923967374658208,1.3840146745869344,0.961282616159304
test_60m,v2,dm_mathematics,1.5658683899041175,1.3377438780683462,0.896289196612497
