interaction,mean_loss_coefficient,ridge_alpha,stable_evidence,note
enron_emails europarl,-98.71660478760812,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers hackernews,-38.70605819870109,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter europarl,-34.57393093800759,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter enron_emails,-33.14527315770452,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers pubmed_abstracts,-16.508272534630088,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
stackexchange enron_emails,-14.87527793642628,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw enron_emails,-13.765263729367062,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
philpapers ubuntu_irc,-12.958967617205424,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter stackexchange,-12.393556187377373,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter pubmed_central,-8.617738302965147,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
europarl hackernews,-7.885507435126879,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
enron_emails ubuntu_irc,-6.334526079483173,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter dm_mathematics,-6.140136771323755,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central enron_emails,-5.235089190453724,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
ubuntu_irc hackernews,-5.1851797214614095,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en hackernews,-5.066815357984069,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
enron_emails pubmed_abstracts,-4.546557044535437,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en philpapers,-4.276185174118812,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en enron_emails,-3.8517047163521343,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics enron_emails,-3.474258207243381,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central ubuntu_irc,-3.3651714727185333,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central gutenberg_pg_19,-3.339039359692058,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
dm_mathematics hackernews,-3.2034435949742956,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
wikipedia_en dm_mathematics,-3.0889309282808664,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
enron_emails pile_cc,-3.027919494914125,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central hackernews,-2.6938298898070907,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
nih_exporter ubuntu_irc,-2.6422193939647536,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pubmed_central europarl,-2.6407916220648002,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
github ubuntu_irc,-2.5279111011375353,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv github,-2.5153415337499223,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
gutenberg_pg_19 hackernews,-2.4405305498856444,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv hackernews,-2.347648041586672,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv ubuntu_irc,-2.323356629523633,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
pile_cc ubuntu_irc,-2.2893945859113023,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw dm_mathematics,-2.2478348095891176,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
arxiv enron_emails,-2.093468364101265,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
freelaw stackexchange,-1.941313917708606,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
gutenberg_pg_19 europarl,-1.8231573026512486,100,False,Exploratory coefficient; not identified as stable synergy without bootstrap and external support
