family,increase,decrease,predicted_mean_loss_change_1pp,bootstrap_ci_low,bootstrap_ci_high,bootstrap_same_sign_rate,outer_fold_same_sign_rate
v2_champion,arxiv,pile_cc,0.00040428385121948907,-0.0008070229488113867,0.0014257325731300782,0.725,0.8
v2_champion,freelaw,pile_cc,0.00047427952074841073,-0.0005772020146030732,0.001663680626146724,0.675,0.6
v2_champion,nih_exporter,pile_cc,0.015839073216071142,0.00608853548740338,0.027265280943056153,1.0,1.0
v2_champion,pubmed_central,pile_cc,5.004529205088204e-05,-0.0013025999447248582,0.0007948774690388346,0.55,0.4
v2_champion,wikipedia_en,pile_cc,0.000639520528947557,-0.0004798394535210582,0.001381391657092345,0.825,1.0
v2_champion,dm_mathematics,pile_cc,-0.01192101350998076,-0.014827452324386581,-0.008982194635215856,1.0,1.0
v2_champion,github,pile_cc,0.00046158988623989927,-0.0004991773532571519,0.0010856499197250402,0.75,1.0
v2_champion,philpapers,pile_cc,0.018670959892805428,0.010205409272826893,0.029048151836851766,1.0,1.0
v2_champion,stackexchange,pile_cc,-0.001524123331771321,-0.002748468685970362,-0.00046115791991836486,1.0,1.0
v2_champion,enron_emails,pile_cc,0.0787852225892749,0.050758253901101155,0.10938978384664919,1.0,1.0
v2_champion,gutenberg_pg_19,pile_cc,0.0006169582814807839,-0.0012195140441748852,0.0019156175692770724,0.75,0.8
v2_champion,ubuntu_irc,pile_cc,-0.011222445614511578,-0.017378934079183672,-0.008787255536658335,1.0,1.0
v2_champion,europarl,pile_cc,0.006619272543590959,0.0018925283279800143,0.011054114197574866,1.0,1.0
v2_champion,hackernews,pile_cc,0.0027769964488530974,-0.002214405659841412,0.00914469194763805,0.925,0.8
v2_champion,pubmed_abstracts,pile_cc,-2.8959601381828293e-05,-0.0010818095528812854,0.0009785008416140605,0.65,0.6
v2_champion,uspto_backgrounds,pile_cc,0.0010957537129447914,-6.189171286097276e-06,0.002508855336211346,0.975,1.0
alr_elasticnet,arxiv,pile_cc,0.0005296096228466496,-0.0007945990199806907,0.001549321617244725,0.775,0.8
alr_elasticnet,freelaw,pile_cc,0.0007526530413235477,-0.00027253383380589915,0.0013160125200295074,0.85,1.0
alr_elasticnet,nih_exporter,pile_cc,0.014278598724527747,0.004496962695597584,0.025340388689248657,1.0,1.0
alr_elasticnet,pubmed_central,pile_cc,8.136080365606091e-05,-0.0008070994476460314,0.0009661527863143559,0.575,0.6
alr_elasticnet,wikipedia_en,pile_cc,0.0005592427614180551,-0.0010086911107148211,0.00128029714632929,0.775,0.8
