Model,ability,submission_date,folder,detailed_ability,weak_ability,task_count,family_count,coverage,eligible,rank_difference
EleutherAI/pythia-410m,5.227072311484412,2024-06-09,EleutherAI_pythia-410m,0.20348087365441647,0.08434139784946237,40,6,1.0,True,0.0674217907227616
EleutherAI/pythia-160m,5.730394616916022,2024-06-09,EleutherAI_pythia-160m,0.2152842610248598,0.06612903225806452,40,6,1.0,True,0.07173678532901835
EleutherAI/gpt-neox-20b,6.1165221524743325,2024-06-09,EleutherAI_gpt-neox-20b,0.18180377351626412,0.08803763440860216,40,6,1.0,True,0.015102481121898603
microsoft/phi-1_5,7.170966845799231,2024-06-09,microsoft_phi-1_5,0.23210339164675733,0.1238614374768261,40,6,1.0,True,0.07065803667745414
tiiuae/falcon-40b,11.40130446230009,2024-06-09,tiiuae_falcon-40b,0.3084134747946246,0.21116047388260636,40,6,1.0,True,0.018878101402373254
tiiuae/falcon-11B,13.851902586180215,2024-06-09,tiiuae_falcon-11B,0.36679214386549885,0.2732932930324665,40,6,1.0,True,0.0296655879180151
Qwen/Qwen2-7B,23.9251621404824,2024-06-09,Qwen_Qwen2-7B,0.6277124764863565,0.5553375278086763,40,6,1.0,True,0.08306364617044226
IDEA-CCNL/Ziya-LLaMA-13B-v1,3.9064248386004103,2024-06-12,IDEA-CCNL_Ziya-LLaMA-13B-v1,0.14850377774297324,0.05479256779057447,40,6,1.0,True,0.00809061488673139
facebook/opt-1.3b,5.276689334204645,2024-06-12,facebook_opt-1.3b,0.1730977804049015,0.05907258064516129,40,6,1.0,True,0.012944983818770218
EleutherAI/gpt-neo-1.3B,5.391090848825532,2024-06-12,EleutherAI_gpt-neo-1.3B,0.18122957264507533,0.08158602150537635,40,6,1.0,True,0.00323624595469256
EleutherAI/pythia-2.8b,5.554946281603011,2024-06-12,EleutherAI_pythia-2.8b,0.21311973257135763,0.0821236559139785,40,6,1.0,True,0.0749730312837109
EleutherAI/pythia-6.9b,5.966546774741993,2024-06-12,EleutherAI_pythia-6.9b,0.1989066660959299,0.09911229491101224,40,6,1.0,True,0.03290183387270766
EleutherAI/pythia-12b,6.059841492942702,2024-06-12,EleutherAI_pythia-12b,0.20157164222400822,0.09314516129032258,40,6,1.0,True,0.03667745415318231
facebook/opt-30b,6.276874107966858,2024-06-12,facebook_opt-30b,0.20105659148459246,0.10118114502673946,40,6,1.0,True,0.031283710895361375
EleutherAI/gpt-neo-2.7B,6.4310478009874465,2024-06-12,EleutherAI_gpt-neo-2.7B,0.20532774512030358,0.08635752688172044,40,6,1.0,True,0.0372168284789644
Qwen/Qwen2-0.5B-Instruct,6.586780633287707,2024-06-12,Qwen_Qwen2-0.5B-Instruct,0.1935022218582036,0.10866848628554554,40,6,1.0,True,0.002696871628910469
deepseek-ai/deepseek-moe-16b-base,7.466333791660236,2024-06-12,deepseek-ai_deepseek-moe-16b-base,0.23540818409381153,0.12715922784575454,40,6,1.0,True,0.06364617044228693
google/gemma-1.1-2b-it,8.053373854341979,2024-06-12,google_gemma-1.1-2b-it,0.1865973725499313,0.10077724651275904,40,6,1.0,True,0.10355987055016182
deepseek-ai/deepseek-llm-7b-base,8.227098434870664,2024-06-12,deepseek-ai_deepseek-llm-7b-base,0.24142750283140843,0.13835758768044193,40,6,1.0,True,0.003775620280474651
meta-llama/Llama-2-13b-hf,11.065185981273993,2024-06-12,meta-llama_Llama-2-13b-hf,0.3156147131436578,0.20805170496986122,40,6,1.0,True,0.0296655879180151
01-ai/Yi-6B-200K,11.996098298832841,2024-06-12,01-ai_Yi-6B-200K,0.3583602023015685,0.21903607969843836,40,6,1.0,True,0.04800431499460628
Qwen/Qwen1.5-4B-Chat,12.627280110791753,2024-06-12,Qwen_Qwen1.5-4B-Chat,0.2953310929341403,0.17057081313947225,40,6,1.0,True,0.01186623516720603
meta-llama/Llama-2-70b-chat-hf,13.073695775827504,2024-06-12,meta-llama_Llama-2-70b-chat-hf,0.22561990777949595,0.10443548387096774,40,6,1.0,True,0.09492988133764835
01-ai/Yi-6B,13.611617485376058,2024-06-12,01-ai_Yi-6B,0.3785871602272434,0.23947400420379733,40,6,1.0,True,0.044228694714131656
01-ai/Yi-6B-Chat,14.11765000523676,2024-06-12,01-ai_Yi-6B-Chat,0.3248147293738091,0.17494614970382338,40,6,1.0,True,0.015102481121898548
Qwen/Qwen2-1.5B-Instruct,14.141936815181689,2024-06-12,Qwen_Qwen2-1.5B-Instruct,0.35937587660225595,0.2659148253339587,40,6,1.0,True,0.01132686084142398
Deci/DeciLM-7B,15.023477940437223,2024-06-12,Deci_DeciLM-7B,0.4150376546576838,0.2728190630048465,40,6,1.0,True,0.05070118662351675
mlabonne/OrpoLlama-3-8B,15.157036730116474,2024-06-12,mlabonne_OrpoLlama-3-8B,0.3780969828194568,0.29890985720985985,40,6,1.0,True,0.002696871628910469
mlabonne/phixtral-2x2_8,15.553113591688318,2024-06-12,mlabonne_phixtral-2x2_8,0.42266650870791933,0.27362681744749595,40,6,1.0,True,0.046386192017259964
CohereForAI/aya-23-8B,16.010983148168723,2024-06-12,CohereForAI_aya-23-8B,0.3630687586555815,0.2282210949250738,40,6,1.0,True,0.031823085221143466
CausalLM/14B,17.235580154596317,2024-06-12,CausalLM_14B,0.4660025775859449,0.3333333333333333,40,6,1.0,True,0.06472491909385114
Deci/DeciLM-7B-instruct,17.470092220993035,2024-06-12,Deci_DeciLM-7B-instruct,0.40568741464686875,0.3053383968298109,40,6,1.0,True,0.0221143473570658
Open-Orca/Mistral-7B-OpenOrca,17.72165111279921,2024-06-12,Open-Orca_Mistral-7B-OpenOrca,0.4365966662187254,0.3138070157419271,40,6,1.0,True,0.010787486515641875
01-ai/Yi-9B-200K,17.72955178611439,2024-06-12,01-ai_Yi-9B-200K,0.4670219411083143,0.4034426272246941,40,6,1.0,True,0.05555555555555558
HuggingFaceH4/zephyr-7b-beta,17.79223722737046,2024-06-12,HuggingFaceH4_zephyr-7b-beta,0.36569085635897725,0.2692779717546511,40,6,1.0,True,0.07227615965480044
01-ai/Yi-9B,17.811867367746064,2024-06-12,01-ai_Yi-9B,0.48103267281269113,0.3412144761755867,40,6,1.0,True,0.06850053937432576
Intel/neural-chat-7b-v3,18.06952728419329,2024-06-12,Intel_neural-chat-7b-v3,0.503708015305292,0.3003500269251481,40,6,1.0,True,0.09870550161812297
meta-llama/Llama-2-70b-hf,18.372598605703004,2024-06-12,meta-llama_Llama-2-70b-hf,0.5201475092946419,0.3157052868831101,40,6,1.0,True,0.11542610571736778
cognitivecomputations/dolphin-2.9-llama3-8b,18.415461238797384,2024-06-12,cognitivecomputations_dolphin-2.9-llama3-8b,0.4899746918302242,0.3617041881633575,40,6,1.0,True,0.06202804746494062
mistralai/Mistral-7B-Instruct-v0.3,19.225098776905867,2024-06-12,mistralai_Mistral-7B-Instruct-v0.3,0.4303728486041078,0.35513521201382736,40,6,1.0,True,0.043689320388349495
01-ai/Yi-1.5-9B-32K,19.809786285875365,2024-06-12,01-ai_Yi-1.5-9B-32K,0.5472263031039769,0.43712728212343877,40,6,1.0,True,0.12189859762675292
01-ai/Yi-34B-200K,20.01347533597433,2024-06-12,01-ai_Yi-34B-200K,0.5948721277517786,0.4182795698924731,40,6,1.0,True,0.18716289104638623
Intel/neural-chat-7b-v3-1,21.06792676095294,2024-06-12,Intel_neural-chat-7b-v3-1,0.522365427327408,0.3691199524051585,40,6,1.0,True,0.02588996763754048
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,21.10058697437334,2024-06-12,NousResearch_Nous-Hermes-2-Mistral-7B-DPO,0.48643061205050875,0.36358569145517394,40,6,1.0,True,0.03505933117583604
Intel/neural-chat-7b-v3-2,21.471411168582193,2024-06-12,Intel_neural-chat-7b-v3-2,0.5091996595664692,0.3818739468792885,40,6,1.0,True,0.01078748651564182
NousResearch/Hermes-2-Pro-Mistral-7B,21.840576807207686,2024-06-12,NousResearch_Hermes-2-Pro-Mistral-7B,0.4930710102486279,0.3842218632202477,40,6,1.0,True,0.052319309600863007
01-ai/Yi-1.5-9B,22.153901514184795,2024-06-12,01-ai_Yi-1.5-9B,0.5908845510149193,0.4411290322580645,40,6,1.0,True,0.09546925566343045
01-ai/Yi-34B,22.373127018936653,2024-06-12,01-ai_Yi-34B,0.5905488665418646,0.38354873451803984,40,6,1.0,True,0.08953613807982741
Qwen/Qwen1.5-14B-Chat,23.566106475051374,2024-06-12,Qwen_Qwen1.5-14B-Chat,0.45535970272906895,0.13251081348689353,40,6,1.0,True,0.1699029126213592
01-ai/Yi-1.5-9B-Chat-16K,23.76539234993476,2024-06-12,01-ai_Yi-1.5-9B-Chat-16K,0.5598079132203451,0.4512768817204301,40,6,1.0,True,0.012405609492988079
01-ai/Yi-34B-Chat,24.226662652803373,2024-06-12,01-ai_Yi-34B-Chat,0.6307610289732488,0.4678628815119773,40,6,1.0,True,0.06850053937432588
LLM360/K2-Chat,24.387145154830876,2024-06-12,LLM360_K2-Chat,0.6416722592177825,0.5654569892473118,40,6,1.0,True,0.08144552319309606
CohereForAI/aya-23-35B,24.755408446939658,2024-06-12,CohereForAI_aya-23-35B,0.537214887292311,0.3274771136241249,40,6,1.0,True,0.08252427184466016
01-ai/Yi-1.5-34B,25.6464941942931,2024-06-12,01-ai_Yi-1.5-34B,0.7297019496641245,0.6576463431122685,40,6,1.0,True,0.17961165048543692
mistralai/Mixtral-8x22B-v0.1,25.740936275222655,2024-06-12,mistralai_Mixtral-8x22B-v0.1,0.7511199230727704,0.684633014574322,40,6,1.0,True,0.20118662351672056
meta-llama/Meta-Llama-3-70B,26.705350171613343,2024-06-12,meta-llama_Meta-Llama-3-70B,0.8073712047034549,0.7443110107027463,40,6,1.0,True,0.21521035598705496
01-ai/Yi-1.5-34B-32K,26.727912908508134,2024-06-12,01-ai_Yi-1.5-34B-32K,0.752315944459095,0.663435648896069,40,6,1.0,True,0.1747572815533981
Qwen/Qwen2-7B-Instruct,27.93668778218485,2024-06-12,Qwen_Qwen2-7B-Instruct,0.5981229779464619,0.5225538503429736,40,6,1.0,True,0.06688241639697945
