increase,decrease,n_specs,min_effect,max_effect,median_effect,sign_consistency
arxiv,pile_cc,9,0.00040428385121948907,0.00125451383986519,0.0006591673485694116,1.0
dm_mathematics,pile_cc,9,-0.016082757106998358,-0.01192101350998076,-0.013613881773871128,1.0
enron_emails,pile_cc,9,0.0787852225892749,0.152242292544142,0.10132092496854916,1.0
europarl,pile_cc,9,0.005864463132003728,0.01148468273360681,0.008359937523890082,1.0
freelaw,pile_cc,9,0.00028868453409192085,0.0005651918115923138,0.0004286824041459525,1.0
github,pile_cc,9,0.0004060946805841681,0.0009268889362310517,0.0006175190723949342,1.0
gutenberg_pg_19,pile_cc,9,-0.0006999987359090909,0.0011294016569047827,0.0006151437513945979,0.6666666666666666
hackernews,pile_cc,9,0.0008962408902659647,0.007559869294604837,0.0027769964488530974,1.0
nih_exporter,pile_cc,9,0.015839073216071142,0.03381043253052152,0.022993929654392176,1.0
philpapers,pile_cc,9,0.01843893230519633,0.03834647383189704,0.026726777510766908,1.0
pubmed_abstracts,pile_cc,9,-5.837706850631008e-05,0.0002839939829266669,8.642941683145722e-05,0.6666666666666666
pubmed_central,pile_cc,9,-0.00045908944902084414,5.004529205088204e-05,-7.549937530537676e-05,0.8888888888888888
stackexchange,pile_cc,9,-0.0015453081632834653,-0.0005617470265120161,-0.0013982050040715066,1.0
ubuntu_irc,pile_cc,9,-0.014094796310191171,-0.010897500286753292,-0.012148113105576286,1.0
uspto_backgrounds,pile_cc,9,0.001092298866895547,0.001998047439423445,0.0013153363141107377,1.0
wikipedia_en,pile_cc,9,0.000639520528947557,0.0009570602340822632,0.0007917042488942982,1.0
