increase,decrease,delta,loss_change,ci_low,ci_high,sign_stability,sign_consistency,median_effect,robust
ubuntu_irc,pile_cc,0.01,-0.01546437901,-0.01965946332,-0.01102251843,1,1,-0.01214811311,True
dm_mathematics,pile_cc,0.01,-0.01077109915,-0.01363124708,-0.007452673465,1,1,-0.01361388177,True
stackexchange,pile_cc,0.01,-0.001851461759,-0.00275161351,-0.0007541652682,1,1,-0.001398205004,True
wikipedia_en,pile_cc,0.01,-0.0002972997977,-0.001709656516,0.001023012209,0.6566666667,1,0.0007917042489,False
pubmed_abstracts,pile_cc,0.01,0.000284309786,-0.001122779811,0.001802284907,0.68,0.6666666667,8.642941683e-05,False
gutenberg_pg_19,pile_cc,0.01,0.0002999394838,-0.001633137252,0.002512388376,0.63,0.6666666667,0.0006151437514,False
arxiv,pile_cc,0.01,0.000450257034,-0.0006026342107,0.001430141645,0.7933333333,1,0.0006591673486,False
pubmed_central,pile_cc,0.01,0.0004553099014,-0.0004379733137,0.001433178486,0.82,0.8888888889,-7.549937531e-05,False
github,pile_cc,0.01,0.0005031144384,-0.0005325330805,0.001613222749,0.8333333333,1,0.0006175190724,False
uspto_backgrounds,pile_cc,0.01,0.0005582021068,-0.0006977188165,0.001752124369,0.8066666667,1,0.001315336314,False
freelaw,pile_cc,0.01,0.0008632477783,-0.0002850475582,0.002120778971,0.9033333333,1,0.0004286824041,False
hackernews,pile_cc,0.01,0.00545443682,-0.004067196562,0.01391602811,0.8566666667,1,0.002776996449,False
europarl,pile_cc,0.01,0.008927548055,0.00126788667,0.01521330817,0.9933333333,1,0.008359937524,True
nih_exporter,pile_cc,0.01,0.02547714558,0.01360609145,0.03726335849,1,1,0.02299392965,True
philpapers,pile_cc,0.01,0.02731369666,0.01301261882,0.04253333475,1,1,0.02672677751,True
enron_emails,pile_cc,0.01,0.1204339183,0.09755837797,0.14723402,1,1,0.101320925,True
