dataset,family,validation_domain,rmse,mae,bias,spearman
train_nested_oof,v2_champion,arxiv,0.432767442059643,0.30621886750544536,-0.004676465539826916,0.9429258613142445
train_nested_oof,v2_champion,freelaw,0.25181337228213885,0.19237330354098944,0.0014264045455182313,0.9541522899715043
train_nested_oof,v2_champion,pubmed_central,0.3299738182031519,0.24653024328378847,0.0006897281275565215,0.938002826701457
train_nested_oof,v2_champion,wikipedia_en,0.17955851411006316,0.13519983168664784,0.0038863539263858833,0.9496665465032444
train_nested_oof,v2_champion,dm_mathematics,0.6516484146154156,0.5239594084313035,-0.0062600584179600665,0.8702423689074285
train_nested_oof,v2_champion,github,0.42198313132688375,0.29147920374644554,-0.004811556629170766,0.9446830725500968
train_nested_oof,v2_champion,stackexchange,0.3082336720739421,0.21816105538928213,-0.0026633988800874586,0.9363866107906752
train_nested_oof,v2_champion,gutenberg_pg_19,0.18814524496021667,0.13914119207959907,0.0008841134493236587,0.9195242136448427
train_nested_oof,v2_champion,pile_cc,0.13287180204433133,0.0993496237752723,0.0010820359882511496,0.9211878154289835
train_nested_oof,v2_champion,ubuntu_irc,0.4428037932966726,0.33639651324709463,-0.0016923502347805791,0.877313324693011
train_nested_oof,v2_champion,hackernews,0.17069489706013433,0.12740705650735662,0.002383329813042968,0.880998068086884
train_nested_oof,v2_champion,pubmed_abstracts,0.22842436154518175,0.16801173393296567,0.003979257820249264,0.9412314140087661
train_nested_oof,v2_champion,uspto_backgrounds,0.17413858525272255,0.13275331492259676,0.0031132574049525606,0.9406120895846922
train_nested_oof,alr_elasticnet,arxiv,0.41198015024457013,0.2892062579280309,-0.0010341831855452364,0.9506434107529096
train_nested_oof,alr_elasticnet,freelaw,0.23820517268754815,0.18096267859376347,0.002578187183956861,0.9581652475938705
train_nested_oof,alr_elasticnet,pubmed_central,0.3203881558452982,0.2366402911349788,0.001079709018577523,0.9424067624826906
train_nested_oof,alr_elasticnet,wikipedia_en,0.17371936266430832,0.13138024320477126,0.0031702302493280855,0.9533199973392386
train_nested_oof,alr_elasticnet,dm_mathematics,0.6119481183417157,0.4864776357222521,-0.005941305784352676,0.8746933329327885
train_nested_oof,alr_elasticnet,github,0.4057852529405101,0.27641235036767947,-0.0019489705885148978,0.9505600831416441
train_nested_oof,alr_elasticnet,stackexchange,0.2933840611453303,0.20887392271702293,-0.001305823711922817,0.9446795856650759
train_nested_oof,alr_elasticnet,gutenberg_pg_19,0.1854272381019328,0.13707407265622262,-0.00028636362731001425,0.9241206433606848
train_nested_oof,alr_elasticnet,pile_cc,0.13047594100713314,0.09763852391554179,0.0011868234882974234,0.9245249432084778
train_nested_oof,alr_elasticnet,ubuntu_irc,0.41598371585751126,0.31116849544334724,0.0008433565826357001,0.8858688888316683
train_nested_oof,alr_elasticnet,hackernews,0.16796442571236164,0.1259312537863021,0.002071408559383302,0.8876213614801846
train_nested_oof,alr_elasticnet,pubmed_abstracts,0.22614732422353845,0.16628724837075756,0.0035141865788445234,0.9444654551618773
train_nested_oof,alr_elasticnet,uspto_backgrounds,0.1715123292983893,0.13148433191948988,0.0038083118417407474,0.9422775689223057
train_nested_oof,ilr_ridge,arxiv,0.4512186448807461,0.326598256662071,-0.0050399911643871885,0.9332198039333495
train_nested_oof,ilr_ridge,freelaw,0.26473424716022337,0.20067663998550536,-0.00027819600285937385,0.9464289290578042
train_nested_oof,ilr_ridge,pubmed_central,0.3548368508421349,0.26538956167753186,-0.005513252523948357,0.9267289227635299
train_nested_oof,ilr_ridge,wikipedia_en,0.1881184695555776,0.1429903919670666,0.00010813107261089909,0.9432592611666151
train_nested_oof,ilr_ridge,dm_mathematics,0.6857642251178776,0.5472801601611457,-0.009773590560807245,0.8644311620947345
train_nested_oof,ilr_ridge,github,0.4476958423906316,0.31805402512099024,-0.007832604113453427,0.9309567261475606
train_nested_oof,ilr_ridge,stackexchange,0.3233667335719063,0.2299772708288612,-0.003796083385591755,0.9230495438081506
train_nested_oof,ilr_ridge,gutenberg_pg_19,0.19302001150205325,0.1435235985193,-0.0025945842759212794,0.9104128042709514
