task,metric,folder,family,score,percentile
leaderboard_bbh_boolean_expressions,"acc_norm,none",0-hero_Matter-0.2-7B-DPO,bbh,0.728,0.235752688172043
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-34B,bbh,0.892,0.9233870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-34B-32K,bbh,0.912,0.9583333333333334
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-34B-Chat,bbh,0.88,0.8983870967741936
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-34B-Chat-16K,bbh,0.936,0.9919354838709677
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-6B,bbh,0.848,0.7596774193548387
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-6B-Chat,bbh,0.82,0.5983870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-9B,bbh,0.832,0.657258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-9B-32K,bbh,0.836,0.6827956989247311
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-9B-Chat,bbh,0.844,0.7311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-1.5-9B-Chat-16K,bbh,0.868,0.8561827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-34B,bbh,0.84,0.707258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-34B-200K,bbh,0.852,0.7862903225806451
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-34B-Chat,bbh,0.796,0.4889784946236559
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-6B,bbh,0.656,0.15940860215053765
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-6B-200K,bbh,0.688,0.18736559139784947
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-6B-Chat,bbh,0.54,0.10994623655913978
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-9B,bbh,0.804,0.5201612903225806
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-9B-200K,bbh,0.804,0.5201612903225806
leaderboard_bbh_boolean_expressions,"acc_norm,none",01-ai_Yi-Coder-9B-Chat,bbh,0.884,0.9091397849462366
leaderboard_bbh_boolean_expressions,"acc_norm,none",1-800-LLMs_Qwen-2.5-14B-Hindi,bbh,0.892,0.9233870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,bbh,0.9,0.9365591397849462
leaderboard_bbh_boolean_expressions,"acc_norm,none",1024m_PHI-4-Hindi,bbh,0.948,0.9970430107526882
leaderboard_bbh_boolean_expressions,"acc_norm,none",1024m_QWEN-14B-B100,bbh,0.896,0.9311827956989247
leaderboard_bbh_boolean_expressions,"acc_norm,none",152334H_miqu-1-70b-sf,bbh,0.856,0.8104838709677419
leaderboard_bbh_boolean_expressions,"acc_norm,none",1TuanPham_T-VisStar-7B-v0.1,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",1TuanPham_T-VisStar-v0.1,bbh,0.808,0.5424731182795699
leaderboard_bbh_boolean_expressions,"acc_norm,none",3rd-Degree-Burn_L-3.1-Science-Writer-8B,bbh,0.804,0.5201612903225806
leaderboard_bbh_boolean_expressions,"acc_norm,none",3rd-Degree-Burn_Llama-3.1-8B-Squareroot,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,bbh,0.46,0.034408602150537634
leaderboard_bbh_boolean_expressions,"acc_norm,none",3rd-Degree-Burn_Llama-Squared-8B,bbh,0.5,0.08790322580645162
leaderboard_bbh_boolean_expressions,"acc_norm,none",4season_final_model_test_v2,bbh,0.664,0.16532258064516128
leaderboard_bbh_boolean_expressions,"acc_norm,none",AALF_FuseChat-Llama-3.1-8B-Instruct-preview,bbh,0.816,0.5825268817204301
leaderboard_bbh_boolean_expressions,"acc_norm,none",AALF_FuseChat-Llama-3.1-8B-SFT-preview,bbh,0.824,0.614516129032258
leaderboard_bbh_boolean_expressions,"acc_norm,none",AALF_gemma-2-27b-it-SimPO-37K,bbh,0.748,0.3024193548387097
leaderboard_bbh_boolean_expressions,"acc_norm,none",AALF_gemma-2-27b-it-SimPO-37K-100steps,bbh,0.792,0.4728494623655914
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aashraf995_Creative-7B-nerd,bbh,0.836,0.6827956989247311
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aashraf995_Gemma-Evo-10B,bbh,0.82,0.5983870967741935
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aashraf995_Qwen-Evo-7B,bbh,0.84,0.707258064516129
leaderboard_bbh_boolean_expressions,"acc_norm,none",Aashraf995_QwenStock-14B,bbh,0.888,0.9150537634408602
leaderboard_bbh_boolean_expressions,"acc_norm,none",abacusai_bigyi-15b,bbh,0.72,0.2172043010752688
leaderboard_bbh_boolean_expressions,"acc_norm,none",abacusai_Liberated-Qwen1.5-14B,bbh,0.752,0.31747311827956987
