family,task,n,mean_score,p95_score
bbh,leaderboard_bbh_boolean_expressions,1860,0.7639655913978495,0.908
bbh,leaderboard_bbh_causal_judgement,1860,0.5781978034615606,0.6577540106951871
bbh,leaderboard_bbh_date_understanding,1860,0.4586,0.704
bbh,leaderboard_bbh_disambiguation_qa,1860,0.5302430107526881,0.7321999999999999
bbh,leaderboard_bbh_formal_fallacies,1860,0.5572860215053763,0.732
bbh,leaderboard_bbh_geometric_shapes,1860,0.3285279569892473,0.5401999999999999
bbh,leaderboard_bbh_hyperbaton,1860,0.6319892473118279,0.808
bbh,leaderboard_bbh_logical_deduction_five_objects,1860,0.3940182795698925,0.632
bbh,leaderboard_bbh_logical_deduction_seven_objects,1860,0.36331182795698924,0.6081999999999999
bbh,leaderboard_bbh_logical_deduction_three_objects,1860,0.5841096774193548,0.916
bbh,leaderboard_bbh_movie_recommendation,1860,0.5790440860215054,0.816
bbh,leaderboard_bbh_navigate,1860,0.5850408602150537,0.72
bbh,leaderboard_bbh_object_counting,1860,0.3409129032258064,0.524
bbh,leaderboard_bbh_penguins_in_a_table,1860,0.4495505965532479,0.7054794520547946
bbh,leaderboard_bbh_reasoning_about_colored_objects,1860,0.480552688172043,0.832
bbh,leaderboard_bbh_ruin_names,1860,0.5216408602150537,0.864
bbh,leaderboard_bbh_salient_translation_error_detection,1860,0.4063139784946237,0.636
bbh,leaderboard_bbh_snarks,1860,0.6026247432644678,0.8089887640449438
bbh,leaderboard_bbh_sports_understanding,1860,0.6800677419354838,0.848
bbh,leaderboard_bbh_temporal_sequences,1860,0.3927645161290323,0.96
bbh,leaderboard_bbh_tracking_shuffled_objects_five_objects,1860,0.20326774193548386,0.296
bbh,leaderboard_bbh_tracking_shuffled_objects_seven_objects,1860,0.17434193548387097,0.308
bbh,leaderboard_bbh_tracking_shuffled_objects_three_objects,1860,0.3298129032258065,0.384
bbh,leaderboard_bbh_web_of_lies,1860,0.5115623655913978,0.584
gpqa,leaderboard_gpqa_diamond,1856,0.29439959944270294,0.3888888888888889
gpqa,leaderboard_gpqa_extended,1856,0.2999308450170519,0.38461538461538464
gpqa,leaderboard_gpqa_main,1856,0.2972933343596059,0.37276785714285715
ifeval,leaderboard_ifeval,1856,0.5092176536431104,0.8201438848920863
math,leaderboard_math_algebra_hard,1857,0.2007552723298936,0.6358306188925075
math,leaderboard_math_counting_and_prob_hard,1857,0.08651641120611529,0.35772357723577236
math,leaderboard_math_geometry_hard,1857,0.05486447675462215,0.22727272727272727
math,leaderboard_math_hard,1857,0.1138349196742766,0.3762839879154077
math,leaderboard_math_intermediate_algebra_hard,1857,0.0351411647049773,0.15357142857142858
math,leaderboard_math_num_theory_hard,1857,0.10326486652819447,0.4025974025974026
math,leaderboard_math_prealgebra_hard,1857,0.20534175406876654,0.5751295336787565
math,leaderboard_math_precalculus_hard,1857,0.043284269730150184,0.17777777777777778
mmlu,leaderboard_mmlu_pro,1856,0.319917071000321,0.5376496010638299
musr,leaderboard_musr_murder_mysteries,1856,0.5370592672413793,0.596
musr,leaderboard_musr_object_placements,1856,0.29733053273168103,0.41015625
musr,leaderboard_musr_team_allocation,1856,0.36696012931034483,0.5
