code,file,rows,columns,bytes,kind,missing_cells,duplicate_index,simplex_max_deviation,fields
A1,real_attachments\A_data_value\slimpajama_quality_signal_sample.jsonl.xz,51230,27,103349792,observed sample,,,,id|content|dsir_books|fluency_en|rps_lines_ending_with_terminal_punctution_mark|modernbert_cleanliness|qurater|rps_doc_num_sentences|rps_doc_word_count|ad_en|rps_doc_frac_no_alph_words|modernbert_reasoning|rps_doc_frac_chars_top_2gram|rps_lines_uppercase_letter_fraction|rps_doc_frac_unique_words|rps_lines_numerical_chars_fraction|fineweb_edu|dsir_math|rps_doc_mean_word_length|dsir_wiki|rps_doc_frac_chars_top_3gram|rps_doc_unigram_entropy|modernbert_professionalism|modernbert_readability|sub_path|_source_domain|_source_path
A2,real_attachments\A_data_value\slimpajama_quality_extended\arxiv_part-6777d8857c6e-000486.jsonl.xz,17523,24,3652724,observed extended,,,,id|dsir_books|fluency_en|rps_lines_ending_with_terminal_punctution_mark|modernbert_cleanliness|qurater|rps_doc_num_sentences|rps_doc_word_count|ad_en|rps_doc_frac_no_alph_words|modernbert_reasoning|rps_doc_frac_chars_top_2gram|rps_lines_uppercase_letter_fraction|rps_doc_frac_unique_words|rps_lines_numerical_chars_fraction|fineweb_edu|dsir_math|rps_doc_mean_word_length|dsir_wiki|rps_doc_frac_chars_top_3gram|rps_doc_unigram_entropy|modernbert_professionalism|modernbert_readability|sub_path
A3,real_attachments\A_data_value\slimpajama_quality_extended\github_part-6777d8857c6e-000275.jsonl.xz,203752,24,37618172,observed extended,,,,id|modernbert_reasoning|dsir_books|modernbert_readability|fineweb_edu|rps_doc_unigram_entropy|modernbert_cleanliness|rps_doc_frac_chars_top_3gram|rps_doc_frac_chars_top_2gram|rps_doc_frac_no_alph_words|modernbert_professionalism|rps_lines_ending_with_terminal_punctution_mark|dsir_math|rps_doc_frac_unique_words|rps_doc_num_sentences|rps_lines_numerical_chars_fraction|ad_en|dsir_wiki|rps_doc_word_count|rps_doc_mean_word_length|rps_lines_uppercase_letter_fraction|qurater|fluency_en|sub_path
A4,real_attachments\A_data_value\regmix_tables\train_mixture_1m.csv,512,18,46412,observed mixture,0,0,0.0039999999999998925,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds
A5,real_attachments\A_data_value\regmix_tables\train_pile_loss_1m.csv,512,14,121898,observed loss,0,0,,index|metric/the_pile_arxiv_val_loss|metric/the_pile_freelaw_val_loss|metric/the_pile_pubmed_central_val_loss|metric/the_pile_wikipedia_en_val_loss|metric/the_pile_dm_mathematics_val_loss|metric/the_pile_github_val_loss|metric/the_pile_stackexchange_val_loss|metric/the_pile_gutenberg_pg_19_val_loss|metric/the_pile_pile_cc_val_loss|metric/the_pile_ubuntu_irc_val_loss|metric/the_pile_hackernews_val_loss|metric/the_pile_pubmed_abstracts_val_loss|metric/the_pile_uspto_backgrounds_val_loss
A6,real_attachments\A_data_value\regmix_tables\test_mixture_1m.csv,256,18,23537,observed mixture,0,0,0.0030000000000001137,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds
A7,real_attachments\A_data_value\regmix_tables\test_pile_loss_1m.csv,256,14,61175,observed loss,0,0,,index|metric/the_pile_arxiv_val_loss|metric/the_pile_freelaw_val_loss|metric/the_pile_pubmed_central_val_loss|metric/the_pile_wikipedia_en_val_loss|metric/the_pile_dm_mathematics_val_loss|metric/the_pile_github_val_loss|metric/the_pile_stackexchange_val_loss|metric/the_pile_gutenberg_pg_19_val_loss|metric/the_pile_pile_cc_val_loss|metric/the_pile_ubuntu_irc_val_loss|metric/the_pile_hackernews_val_loss|metric/the_pile_pubmed_abstracts_val_loss|metric/the_pile_uspto_backgrounds_val_loss
A8,real_attachments\A_data_value\regmix_tables\test_mixture_60m.csv,256,18,23537,observed mixture,0,0,0.0030000000000001137,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds
A9,real_attachments\A_data_value\regmix_tables\test_pile_loss_60m.csv,256,14,61827,observed loss,0,0,,index|metric/the_pile_arxiv_val_loss|metric/the_pile_freelaw_val_loss|metric/the_pile_pubmed_central_val_loss|metric/the_pile_wikipedia_en_val_loss|metric/the_pile_dm_mathematics_val_loss|metric/the_pile_github_val_loss|metric/the_pile_stackexchange_val_loss|metric/the_pile_gutenberg_pg_19_val_loss|metric/the_pile_pile_cc_val_loss|metric/the_pile_ubuntu_irc_val_loss|metric/the_pile_hackernews_val_loss|metric/the_pile_pubmed_abstracts_val_loss|metric/the_pile_uspto_backgrounds_val_loss
A10,real_attachments\A_data_value\regmix_tables\test_mixture_1B.csv,64,18,6393,observed mixture,0,0,0.0020000000000000018,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds
